Day,max_temp,min_temp
1,11.28,10.3
2,10.34,8.46
3,5.96,3.3
4,1.6,1.6
5,1.14,1.14
6,0.18,0.18
7,3.37,3.37
8,6.11,6.11
9,4.94,4.94
10,3.93,3.93
11,2.78,2.78
12,-0.47,-0.47
13,-1.26,-1.26
14,-1.53,-1.53
15,2.81,2.81
16,6.15,6.15
17,6.47,6.47
18,5.38,5.38
19,2.74,2.74
20,0.13,0.13
21,-0.34,-0.34
22,-0.7,-0.7
23,4.07,4.07
24,6.88,6.88
25,7.61,7.61
26,6.72,6.72
27,4.08,4.08
28,2.25,2.25
29,2.06,2.06
30,1.3,1.3
31,5.08,5.08
32,8.94,8.94
33,10.4,10.4
34,10.3,10.3
35,6.83,6.83
36,3.9,3.9
37,3.48,3.48
38,2.66,2.66
39,7.87,7.87
40,11.6,11.6
