fetch_time,date_time,city,country,temperature,humidity,pressure,description,min_temp,max_temp,temp,weather
2023-05-03 11:32:19 ,2023-05-03 12:00:00,Stockholm,SE,10.25,45,1021,clear sky,10.25,10.84,10.25,Clear
2023-05-03 11:32:19 ,2023-05-03 15:00:00,Stockholm,SE,8.45,54,1023,light rain,7.7,8.45,8.45,Rain
2023-05-03 11:32:19 ,2023-05-03 18:00:00,Stockholm,SE,4.05,74,1026,overcast clouds,4.05,4.05,4.05,Clouds
2023-05-03 11:32:19 ,2023-05-03 21:00:00,Stockholm,SE,2.15,74,1028,overcast clouds,2.15,2.15,2.15,Clouds
2023-05-03 11:32:19 ,2023-05-04 00:00:00,Stockholm,SE,1.68,72,1028,overcast clouds,1.68,1.68,1.68,Clouds
2023-05-03 11:32:19 ,2023-05-04 03:00:00,Stockholm,SE,0.33,77,1029,overcast clouds,0.33,0.33,0.33,Clouds
2023-05-03 11:32:19 ,2023-05-04 06:00:00,Stockholm,SE,3.3,57,1029,broken clouds,3.3,3.3,3.3,Clouds
2023-05-03 11:32:19 ,2023-05-04 09:00:00,Stockholm,SE,6.09,38,1029,few clouds,6.09,6.09,6.09,Clouds
2023-05-03 11:32:19 ,2023-05-04 12:00:00,Stockholm,SE,4.29,62,1030,light snow,4.29,4.29,4.29,Snow
2023-05-03 11:32:19 ,2023-05-04 15:00:00,Stockholm,SE,3.43,62,1030,light snow,3.43,3.43,3.43,Snow
2023-05-03 11:32:19 ,2023-05-04 18:00:00,Stockholm,SE,2.89,51,1031,broken clouds,2.89,2.89,2.89,Clouds
2023-05-03 11:32:19 ,2023-05-04 21:00:00,Stockholm,SE,-0.74,63,1033,few clouds,-0.74,-0.74,-0.74,Clouds
2023-05-03 11:32:19 ,2023-05-05 00:00:00,Stockholm,SE,-1.53,69,1033,few clouds,-1.53,-1.53,-1.53,Clouds
2023-05-03 11:32:19 ,2023-05-05 03:00:00,Stockholm,SE,-1.57,68,1034,clear sky,-1.57,-1.57,-1.57,Clear
2023-05-03 11:32:19 ,2023-05-05 06:00:00,Stockholm,SE,2.6,47,1035,clear sky,2.6,2.6,2.6,Clear
2023-05-03 11:32:19 ,2023-05-05 09:00:00,Stockholm,SE,5.83,38,1035,few clouds,5.83,5.83,5.83,Clouds
2023-05-03 11:32:19 ,2023-05-05 12:00:00,Stockholm,SE,6.38,42,1035,broken clouds,6.38,6.38,6.38,Clouds
2023-05-03 11:32:19 ,2023-05-05 15:00:00,Stockholm,SE,5.12,50,1034,broken clouds,5.12,5.12,5.12,Clouds
2023-05-03 11:32:19 ,2023-05-05 18:00:00,Stockholm,SE,2.62,62,1035,scattered clouds,2.62,2.62,2.62,Clouds
2023-05-03 11:32:19 ,2023-05-05 21:00:00,Stockholm,SE,-0.08,71,1035,clear sky,-0.08,-0.08,-0.08,Clear
2023-05-03 11:32:19 ,2023-05-06 00:00:00,Stockholm,SE,-0.69,72,1035,clear sky,-0.69,-0.69,-0.69,Clear
2023-05-03 11:32:19 ,2023-05-06 03:00:00,Stockholm,SE,-0.83,73,1035,clear sky,-0.83,-0.83,-0.83,Clear
2023-05-03 11:32:19 ,2023-05-06 06:00:00,Stockholm,SE,3.98,51,1035,clear sky,3.98,3.98,3.98,Clear
2023-05-03 11:32:19 ,2023-05-06 09:00:00,Stockholm,SE,6.76,41,1034,scattered clouds,6.76,6.76,6.76,Clouds
2023-05-03 11:32:19 ,2023-05-06 12:00:00,Stockholm,SE,7.19,43,1034,broken clouds,7.19,7.19,7.19,Clouds
2023-05-03 11:32:19 ,2023-05-06 15:00:00,Stockholm,SE,6.47,47,1033,overcast clouds,6.47,6.47,6.47,Clouds
2023-05-03 11:32:19 ,2023-05-06 18:00:00,Stockholm,SE,4.11,62,1032,overcast clouds,4.11,4.11,4.11,Clouds
2023-05-03 11:32:19 ,2023-05-06 21:00:00,Stockholm,SE,2.4,72,1032,overcast clouds,2.4,2.4,2.4,Clouds
2023-05-03 11:32:19 ,2023-05-07 00:00:00,Stockholm,SE,1.72,77,1032,overcast clouds,1.72,1.72,1.72,Clouds
2023-05-03 11:32:19 ,2023-05-07 03:00:00,Stockholm,SE,0.91,84,1032,overcast clouds,0.91,0.91,0.91,Clouds
2023-05-03 11:32:19 ,2023-05-07 06:00:00,Stockholm,SE,5.48,59,1031,overcast clouds,5.48,5.48,5.48,Clouds
2023-05-03 11:32:19 ,2023-05-07 09:00:00,Stockholm,SE,9.12,42,1030,clear sky,9.12,9.12,9.12,Clear
2023-05-03 11:32:19 ,2023-05-07 12:00:00,Stockholm,SE,10.85,38,1029,few clouds,10.85,10.85,10.85,Clouds
2023-05-03 11:32:19 ,2023-05-07 15:00:00,Stockholm,SE,10.44,42,1028,few clouds,10.44,10.44,10.44,Clouds
2023-05-03 11:32:19 ,2023-05-07 18:00:00,Stockholm,SE,6.65,61,1027,few clouds,6.65,6.65,6.65,Clouds
2023-05-03 11:32:19 ,2023-05-07 21:00:00,Stockholm,SE,3.78,77,1028,few clouds,3.78,3.78,3.78,Clouds
2023-05-03 11:32:19 ,2023-05-08 00:00:00,Stockholm,SE,3.23,74,1027,few clouds,3.23,3.23,3.23,Clouds
2023-05-03 11:32:19 ,2023-05-08 03:00:00,Stockholm,SE,2.56,75,1026,few clouds,2.56,2.56,2.56,Clouds
