Day,max_temp,min_temp
1,8.34,6.93
2,10.13,8.83
3,7.04,7.04
4,4.4,4.4
5,3.31,3.31
6,2.59,2.59
7,5.76,5.76
8,8.95,8.95
9,10.39,10.39
10,9.55,9.55
11,5.51,5.51
12,2.23,2.23
13,0.29,0.29
14,-0.97,-0.97
15,2.68,2.68
16,5.8,5.8
17,4.7,4.7
18,3.91,3.91
19,2.58,2.58
20,0.11,0.11
21,-0.82,-0.82
22,-1.23,-1.23
23,2.88,2.88
24,5.94,5.94
25,6.67,6.67
26,5.28,5.28
27,2.57,2.57
28,-0.17,-0.17
29,-0.84,-0.84
30,-0.92,-0.92
31,3.29,3.29
32,6.37,6.37
33,7.66,7.66
34,6.92,6.92
35,4.15,4.15
36,1.59,1.59
37,1.58,1.58
38,0.35,0.35
39,5.15,5.15
40,8.74,8.74
