fetch_time,date_time,city,country,temperature,humidity,pressure,description,min_temp,max_temp,temp,weather
2023-05-02 13:56:22 ,2023-05-02 12:00:00,Stockholm,SE,8.36,59,1010,light rain,8.36,8.38,8.36,Rain
2023-05-02 13:56:22 ,2023-05-02 15:00:00,Stockholm,SE,8.97,51,1011,broken clouds,8.97,10.2,8.97,Clouds
2023-05-02 13:56:22 ,2023-05-02 18:00:00,Stockholm,SE,7.79,55,1014,broken clouds,7.51,7.79,7.79,Clouds
2023-05-02 13:56:22 ,2023-05-02 21:00:00,Stockholm,SE,4.71,71,1018,overcast clouds,4.71,4.71,4.71,Clouds
2023-05-02 13:56:22 ,2023-05-03 00:00:00,Stockholm,SE,3.53,82,1019,overcast clouds,3.53,3.53,3.53,Clouds
2023-05-02 13:56:22 ,2023-05-03 03:00:00,Stockholm,SE,2.62,90,1020,overcast clouds,2.62,2.62,2.62,Clouds
2023-05-02 13:56:22 ,2023-05-03 06:00:00,Stockholm,SE,5.87,69,1021,broken clouds,5.87,5.87,5.87,Clouds
2023-05-02 13:56:22 ,2023-05-03 09:00:00,Stockholm,SE,9.16,42,1023,clear sky,9.16,9.16,9.16,Clear
2023-05-02 13:56:22 ,2023-05-03 12:00:00,Stockholm,SE,10.4,36,1023,scattered clouds,10.4,10.4,10.4,Clouds
2023-05-02 13:56:22 ,2023-05-03 15:00:00,Stockholm,SE,9.06,40,1025,broken clouds,9.06,9.06,9.06,Clouds
2023-05-02 13:56:22 ,2023-05-03 18:00:00,Stockholm,SE,3.93,65,1027,overcast clouds,3.93,3.93,3.93,Clouds
2023-05-02 13:56:22 ,2023-05-03 21:00:00,Stockholm,SE,2.65,72,1028,overcast clouds,2.65,2.65,2.65,Clouds
2023-05-02 13:56:22 ,2023-05-04 00:00:00,Stockholm,SE,1.76,75,1029,overcast clouds,1.76,1.76,1.76,Clouds
2023-05-02 13:56:22 ,2023-05-04 03:00:00,Stockholm,SE,0.18,81,1029,overcast clouds,0.18,0.18,0.18,Clouds
2023-05-02 13:56:22 ,2023-05-04 06:00:00,Stockholm,SE,3.33,64,1030,broken clouds,3.33,3.33,3.33,Clouds
2023-05-02 13:56:22 ,2023-05-04 09:00:00,Stockholm,SE,6.36,42,1029,few clouds,6.36,6.36,6.36,Clouds
2023-05-02 13:56:22 ,2023-05-04 12:00:00,Stockholm,SE,5.69,51,1030,light rain,5.69,5.69,5.69,Rain
2023-05-02 13:56:22 ,2023-05-04 15:00:00,Stockholm,SE,4.49,56,1030,light snow,4.49,4.49,4.49,Snow
2023-05-02 13:56:22 ,2023-05-04 18:00:00,Stockholm,SE,2.93,54,1031,broken clouds,2.93,2.93,2.93,Clouds
2023-05-02 13:56:22 ,2023-05-04 21:00:00,Stockholm,SE,0.0,60,1032,few clouds,0.0,0.0,0.0,Clouds
